,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
49950,,,,42.511785,0,-71.23247,Billerica,Dawes Drive,,,,3.0,1
NEC-2287-07,,,South Station - Commuter Rail - Track 7,42.351178,0,-71.055238,Boston,South Station,,7,Commuter Rail - Track 7,2.0,1
70838,,,Bowdoin - Blue Line - Exit Only,42.361365,0,-71.062037,Boston,Bowdoin,,,Exit Only,1.0,2
3335,,Gordon Street,,42.241934,0,-71.012967,Quincy,Water St @ Gordon ter,Water Street,,,3.0,1
1710,,Johnston Road,,42.287168,0,-71.090663,Boston,Blue Hill Ave @ Johnston Rd,Blue Hill Avenue,,,3.0,1
6537,,Boylston Street,,42.352288,0,-71.062581,Boston,Washington St @ Essex St,Washington Street,,,3.0,1
70085,,,JFK/UMass - Red Line - Ashmont,42.320632,0,-71.052514,Boston,JFK/UMass,,,Ashmont,1.0,1
3211,,Vassall Street,,42.276586,0,-71.01589,Quincy,Billings Rd @ Vassal St,Billings Road,,,3.0,1
2936,,Middlesex Avenue,,42.392595,0,-71.084056,Somerville,Mystic Ave @ I-93 Underpass,Mystic Avenue,,,3.0,1
3937,,,,42.218992,0,-71.003334,Braintree,400 Washington St,Washington Street,,,3.0,1
5693,,Plumer Street,,42.40601,0,-71.053488,Everett,Chelsea St @ Plumer St,Chelsea Street,,,3.0,1
4982,,Montvale Avenue,,42.482204,0,-71.140687,Woburn,Bow St @ Montvale Ave,Bow Street,,,3.0,1
7576,,Hull Drive,,42.470791,0,-71.008878,Saugus,Appleton St @ Hull Dr,Appleton Street,,,3.0,0
node-920-platform,,,Prudential - Bottom of elevator between Heath Street platform and lobby,,3,,Boston,Prudential,,,,,1
30088,,Bay Street,Savin Hill - Red Line Alewife Shuttle - Dorchester Ave @ Bay St,42.31126,0,-71.05753,Boston,Savin Hill - Dorchester Ave @ Bay St,Dorchester Avenue,,Alewife Shuttle,3.0,1
70203,,,Haymarket - Green Line - North Station & North,42.363021,0,-71.05829,Boston,Haymarket,,,North Station & North,0.0,1
7447,,,,42.461762,0,-70.982362,Lynn,Summer St @ Boston St,Summer Street,,,3.0,1
7173,,Elliott Street,,42.553423,0,-70.878559,Beverly,Cabot St opp Elliot St,Cabot Street,,,3.0,1
